xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,xCoordPress7,yCoordPress7,xCoordRelease7,yCoordRelease7,pressPressure7,releasePressure7,holdTime7,HPP7,offSet7,xCoordPress8,yCoordPress8,xCoordRelease8,yCoordRelease8,pressPressure8,releasePressure8,holdTime8,HPP8,offSet8,xCoordPress9,yCoordPress9,xCoordRelease9,yCoordRelease9,pressPressure9,releasePressure9,holdTime9,HPP9,offSet9,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,PPTime6,UDTime6,PPTime7,UDTime7,PPTime8,UDTime8,state
95.0,70.0,95.0,70.0,0.172549024224281,0.172549024224281,0.099,0.01708235339820382,42.86315434029558,67.0,81.0,67.0,81.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,13.0862523283024,89.0,69.0,89.0,69.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,37.51333096380539,71.0,54.0,71.0,54.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,33.185087012090236,65.0,117.0,65.0,117.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,36.21118611699981,87.0,119.0,87.0,119.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,49.20619879649311,93.0,101.0,93.0,101.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,43.165379646193315,91.0,74.0,91.0,74.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,37.963798545456434,77.0,83.0,83.2012634277344,91.8817138671875,0.180392161011696,0.160784319043159,0.083,0.014972549363970768,30.67132766708538,30.0,91.0,30.0,91.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,25.46075411294803,0.241,0.142,0.175,0.117,0.125,0.05,0.401,0.301,0.25,0.184,0.117,0.025,0.225,0.134,0.142,0.067,0.267,0.184,2
84.0,116.0,84.0,116.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,44.9694340635948,83.0,76.0,82.0,84.3656005859375,0.176470592617989,0.137254908680916,0.074,0.013058823853731185,28.062082345154828,82.0,85.0,82.0,85.0,0.172549024224281,0.172549024224281,0.067,0.011560784623026827,28.111385593741193,62.0,76.0,62.0,76.0,0.176470592617989,0.176470592617989,0.058,0.010235294371843362,10.307764064044152,42.0,116.0,42.0,116.0,0.172549024224281,0.172549024224281,0.109,0.01880784364044663,35.58440669731617,88.0,95.0,88.0,95.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,36.22499137335991,64.0,74.0,64.0,74.0,0.172549024224281,0.172549024224281,0.057,0.009835294380784019,13.124404748406688,80.0,45.0,80.0,45.0,0.172549024224281,0.172549024224281,0.058,0.010007843405008298,45.63167759353145,79.0,42.0,79.0,42.0,0.149019613862038,0.149019613862038,0.033,0.004917647257447254,47.59464255564905,71.0,110.0,71.0,110.0,0.15686275064945202,0.15686275064945202,0.057,0.008941176787018765,32.33032632065442,0.226,0.135,0.191,0.117,0.159,0.092,0.283,0.225,0.259,0.15,0.126,0.043,0.183,0.126,0.225,0.167,1.303,1.27,2
84.0,66.0,84.0,66.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,34.23813663153998,70.0,51.0,70.0,59.06298828125,0.176470592617989,0.164705887436867,0.083,0.014647059187293088,28.377694027260652,79.0,97.0,79.0,97.0,0.172549024224281,0.172549024224281,0.092,0.015874510228633853,28.90069203323685,75.0,78.0,75.9864807128906,79.9730224609375,0.176470592617989,0.172549024224281,0.108,0.01905882400274281,22.13122115070103,53.0,107.0,53.0,107.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,24.520399670478458,86.0,113.0,86.0,113.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,44.206899913927465,101.0,100.0,101.0,100.0,0.172549024224281,0.172549024224281,0.084,0.014494118034839605,50.15226814412286,63.0,100.0,63.0,100.0,0.109803929924965,0.109803929924965,0.017,0.0018666668087244053,19.67866865415443,70.0,90.0,70.0,90.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,17.67059704707229,62.0,113.0,62.0,113.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,31.531730050855124,0.234,0.126,0.225,0.142,0.167,0.075,0.442,0.334,0.309,0.209,0.133,0.033,0.267,0.183,0.101,0.084,0.367,0.284,2
64.0,90.0,64.0,90.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,12.5,82.0,47.0,82.0,56.2216796875,0.176470592617989,0.172549024224281,0.083,0.014647059187293088,38.39987133372129,78.0,82.0,78.0,82.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,24.005207768315607,79.0,85.0,79.0,85.0,0.172549024224281,0.172549024224281,0.049,0.00845490218698977,25.124689052802225,52.0,99.0,52.0,99.0,0.176470592617989,0.176470592617989,0.116,0.020470588743686725,16.62077013859466,81.0,100.0,81.0,100.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,32.17530108639234,64.0,85.0,64.86236572265621,91.4495849609375,0.172549024224281,0.149019613862038,0.066,0.011388235598802548,14.074304958532593,64.0,81.0,64.0,81.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,10.111874208078342,70.0,78.0,70.0,78.0,0.180392161011696,0.180392161011696,0.074,0.013349019914865503,16.62077013859466,27.0,99.0,27.0,99.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,31.64253466459348,0.2,0.125,0.209,0.126,0.167,0.084,0.325,0.276,0.275,0.159,0.125,0.025,0.183,0.117,0.209,0.126,0.292,0.218,2
64.0,96.0,64.0,96.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,16.80029761641144,56.0,68.0,62.0,84.0,0.180392161011696,0.121568635106087,0.099,0.017858823940157906,8.139410298049853,92.0,79.0,92.0,79.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,38.16084380618437,81.0,69.0,81.0,69.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,30.18691769624716,33.0,90.0,33.0,90.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,22.299103120977758,77.0,103.0,77.0,107.0,0.180392161011696,0.176470592617989,0.108,0.019482353389263168,33.60431519909311,62.0,73.0,62.8681030273437,80.34033203125,0.180392161011696,0.152941182255745,0.092,0.01659607881307603,9.127289687460744,69.0,71.0,69.0,71.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,18.9010581714358,80.0,74.0,80.0,76.0,0.180392161011696,0.172549024224281,0.099,0.017858823940157906,26.800186566514792,54.0,98.0,54.0,98.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,15.5,0.2,0.126,0.208,0.109,0.2,0.092,0.367,0.292,0.284,0.184,0.141,0.033,0.209,0.117,0.192,0.101,0.333,0.234,2
76.0,94.0,76.0,94.0,0.176470592617989,0.176470592617989,0.109,0.019235294595360802,24.82438317461282,67.0,45.0,67.0,50.9227294921875,0.18431372940540303,0.176470592617989,0.092,0.01695686310529708,34.14855798893366,87.0,77.0,87.0,77.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,33.455193916640205,72.0,75.0,73.0,78.0,0.176470592617989,0.12941177189350098,0.091,0.016058823928236998,19.525624189766635,39.0,95.0,39.0,95.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,19.525624189766635,67.0,111.0,67.0,111.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,31.32491021535417,73.0,81.0,73.976318359375,86.8577880859375,0.176470592617989,0.172549024224281,0.074,0.013058823853731185,20.44611484358438,61.0,84.0,61.0,84.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,7.158910531638177,80.0,104.0,80.0,104.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,33.737960815674676,58.0,103.0,58.0,103.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,20.886598574205422,0.217,0.108,0.217,0.125,0.192,0.101,0.358,0.267,0.284,0.176,0.15,0.025,0.191,0.117,0.176,0.076,0.316,0.225,2
81.0,91.0,81.0,91.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,28.30635970943632,69.0,52.0,69.0,60.0,0.176470592617989,0.172549024224281,0.091,0.016058823928236998,27.04163456597992,67.0,83.0,67.0,83.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,13.009611831257688,90.0,82.0,90.0,82.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,36.003472054789384,43.0,85.0,43.0,85.0,0.176470592617989,0.176470592617989,0.116,0.020470588743686725,11.280514172678478,70.0,105.0,70.0,108.0,0.180392161011696,0.160784319043159,0.1,0.0180392161011696,30.103986446980738,81.0,84.0,81.0,84.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,27.04163456597992,79.0,78.0,79.0,78.0,0.172549024224281,0.172549024224281,0.074,0.012768627792596793,25.401771591761076,71.0,104.0,74.0,107.0,0.176470592617989,0.109803929924965,0.091,0.016058823928236998,31.62672920173694,69.0,108.0,69.0,108.0,0.172549024224281,0.172549024224281,0.116,0.020015686810016597,29.58462438497403,0.234,0.134,0.216,0.125,0.184,0.101,0.351,0.268,0.274,0.158,0.125,0.025,0.226,0.151,0.175,0.101,0.325,0.234,2
86.0,82.0,86.0,82.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,32.00390601161052,74.0,78.0,74.0,87.0,0.176470592617989,0.12941177189350098,0.092,0.01623529452085499,20.5,85.0,84.0,85.0,84.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,31.03626910567699,65.0,84.0,65.0,84.0,0.176470592617989,0.176470592617989,0.082,0.014470588594675099,11.10180165558726,39.0,100.0,39.0,100.0,0.172549024224281,0.172549024224281,0.125,0.021568628028035126,23.04886114323222,106.0,115.0,106.0,115.0,0.180392161011696,0.180392161011696,0.116,0.020925490677356738,61.32087735836792,80.0,77.0,80.0,79.94189453125,0.176470592617989,0.152941182255745,0.074,0.013058823853731185,26.125541211413186,72.0,81.0,72.0,81.0,0.172549024224281,0.172549024224281,0.083,0.014321569010615324,18.062391868188442,71.0,93.0,71.0,93.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,19.981241202688086,54.0,94.0,54.0,94.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,11.5,0.225,0.142,0.226,0.134,0.217,0.151,0.342,0.26,0.359,0.234,0.167,0.051,0.2,0.126,0.158,0.075,0.292,0.184,2
78.0,41.0,78.0,41.0,0.172549024224281,0.172549024224281,0.091,0.01570196120440957,47.940066750057824,69.0,85.0,69.0,86.9547119140625,0.176470592617989,0.14509804546833,0.066,0.011647059112787276,15.64750645429777,64.0,94.0,64.0,94.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,15.239750654128171,60.0,70.0,60.0,70.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,13.865424623862047,34.0,112.0,34.0,112.0,0.172549024224281,0.172549024224281,0.108,0.018635294616222348,35.64056677439347,107.0,94.0,107.0,94.0,0.176470592617989,0.176470592617989,0.125,0.022058824077248625,54.23329235810785,67.0,62.0,67.0,62.0,0.168627455830574,0.168627455830574,0.05,0.008431372791528701,24.27447218787671,85.0,79.0,85.0,79.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,31.196954979612993,46.0,71.0,49.0,75.0,0.180392161011696,0.121568635106087,0.099,0.017858823940157906,9.013878188659973,21.0,110.0,21.0,110.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,42.9563732174866,0.233,0.142,0.183,0.117,0.201,0.101,0.358,0.284,0.342,0.234,0.158,0.033,0.217,0.167,0.167,0.092,0.283,0.184,2
81.0,64.0,81.0,64.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,32.72995569810628,61.0,89.0,61.0,89.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,9.5524865872714,77.0,83.0,77.0,83.0,0.172549024224281,0.172549024224281,0.1,0.017254902422428102,23.005434140654682,33.0,62.0,33.0,62.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,29.34706118165838,57.0,126.0,57.0,126.0,0.164705887436867,0.164705887436867,0.1,0.0164705887436867,43.603325561245896,92.0,131.0,92.0,131.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,61.613716005448005,69.0,94.0,69.0,94.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,18.9010581714358,69.0,80.0,69.0,80.0,0.172549024224281,0.172549024224281,0.075,0.012941176816821075,15.20690632574555,46.0,94.0,47.9675903320312,95.967529296875,0.176470592617989,0.0980392247438431,0.083,0.014647059187293088,14.756839491042445,28.0,93.0,28.0,93.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,28.040149785619906,0.225,0.134,0.2,0.125,0.259,0.159,0.441,0.375,0.334,0.234,0.15,0.05,0.217,0.142,0.175,0.1,0.292,0.209,2
