xCoordPress0,yCoordPress0,xCoordRelease0,yCoordRelease0,pressPressure0,releasePressure0,holdTime0,HPP0,offSet0,xCoordPress1,yCoordPress1,xCoordRelease1,yCoordRelease1,pressPressure1,releasePressure1,holdTime1,HPP1,offSet1,xCoordPress2,yCoordPress2,xCoordRelease2,yCoordRelease2,pressPressure2,releasePressure2,holdTime2,HPP2,offSet2,xCoordPress3,yCoordPress3,xCoordRelease3,yCoordRelease3,pressPressure3,releasePressure3,holdTime3,HPP3,offSet3,xCoordPress4,yCoordPress4,xCoordRelease4,yCoordRelease4,pressPressure4,releasePressure4,holdTime4,HPP4,offSet4,xCoordPress5,yCoordPress5,xCoordRelease5,yCoordRelease5,pressPressure5,releasePressure5,holdTime5,HPP5,offSet5,xCoordPress6,yCoordPress6,xCoordRelease6,yCoordRelease6,pressPressure6,releasePressure6,holdTime6,HPP6,offSet6,PPTime0,UDTime0,PPTime1,UDTime1,PPTime2,UDTime2,PPTime3,UDTime3,PPTime4,UDTime4,PPTime5,UDTime5,state
62.0,105.0,62.0,105.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,23.879907872519105,41.0,112.0,41.0,112.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,32.23740063962974,57.0,111.0,57.0,111.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,28.6574597618142,40.0,126.0,40.0,126.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,45.69737410398983,54.0,142.0,54.0,142.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,59.5,91.0,91.0,91.0,91.0,0.180392161011696,0.180392161011696,0.109,0.019662745550274863,37.963798545456434,51.0,102.0,51.0,102.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,19.72941965694886,0.283,0.2,0.351,0.284,0.275,0.184,0.2,0.125,0.376,0.301,0.318,0.209,2
67.0,103.0,67.0,103.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,24.27447218787671,82.0,137.0,82.0,137.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,61.271934847856734,49.0,110.0,49.0,110.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,27.95084971874737,38.0,104.0,38.0,104.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,26.800186566514792,46.0,130.0,46.0,130.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,48.16897341650536,60.0,112.0,60.0,112.0,0.180392161011696,0.180392161011696,0.125,0.022549020126462,30.103986446980738,44.0,115.0,44.0,115.0,0.18431372940540303,0.18431372940540303,0.099,0.0182470592111349,34.00367627183861,0.351,0.284,0.358,0.267,0.342,0.251,0.217,0.142,0.333,0.25,0.376,0.251,2
41.0,95.0,41.0,95.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,18.034688796871432,72.0,124.0,72.0,124.0,0.180392161011696,0.180392161011696,0.1,0.0180392161011696,45.23549491273418,57.0,121.0,57.0,121.0,0.176470592617989,0.176470592617989,0.099,0.01747058866918091,38.616706229299254,51.0,104.0,51.0,104.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,21.70829334609241,62.0,136.0,62.0,136.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,54.09482415166907,70.0,101.0,70.0,101.0,0.180392161011696,0.180392161011696,0.108,0.019482353389263168,24.45914961727002,56.0,105.0,56.0,105.0,0.176470592617989,0.176470592617989,0.108,0.01905882400274281,22.588713996153036,0.233,0.159,0.334,0.234,0.308,0.209,0.234,0.151,0.458,0.384,0.301,0.193,2
54.0,106.0,54.0,106.0,0.160784319043159,0.160784319043159,0.05,0.00803921595215795,23.5,64.0,104.0,64.0,104.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,23.71181140275875,44.0,81.0,44.0,81.0,0.172549024224281,0.172549024224281,0.066,0.011388235598802548,10.111874208078342,20.0,97.0,20.0,97.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,36.96281915655244,55.0,142.0,55.0,142.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,59.508402768012516,70.0,113.0,70.0,113.0,0.18431372940540303,0.18431372940540303,0.133,0.024513726010918602,34.44198019858905,55.0,123.0,55.0,123.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,40.512343797909296,0.275,0.225,0.284,0.209,0.283,0.217,0.217,0.134,0.267,0.176,0.309,0.176,2
29.0,92.0,29.0,92.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,26.744158240632665,79.0,119.0,79.0,119.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,44.24081825644729,40.0,124.0,40.0,124.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,43.7978309965231,51.0,125.0,51.0,125.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,42.60575078554537,58.0,137.0,58.0,137.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,54.646591842492796,67.0,113.0,67.0,113.0,0.18823531270027202,0.18823531270027202,0.117,0.022023531585931826,33.15493930020081,53.0,112.0,53.0,112.0,0.18431372940540303,0.18431372940540303,0.091,0.016772549375891677,29.516944286290883,0.284,0.184,0.434,0.343,0.301,0.226,0.217,0.15,0.342,0.259,0.342,0.225,2
61.0,109.0,61.0,109.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,27.408940147331492,89.0,117.0,89.0,117.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,49.145193050795925,50.0,84.0,50.0,84.0,0.176470592617989,0.176470592617989,0.091,0.016058823928236998,4.272001872658765,60.0,99.0,60.0,99.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,17.55704986607944,65.0,116.0,65.0,116.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,35.259750424527965,92.0,131.0,92.0,131.0,0.18431372940540303,0.18431372940540303,0.125,0.02303921617567538,61.613716005448005,45.0,123.0,45.0,123.0,0.18431372940540303,0.18431372940540303,0.1,0.018431372940540303,41.48795005781799,0.259,0.167,0.45,0.359,0.3,0.209,0.217,0.125,0.35,0.259,0.334,0.209,2
61.0,92.0,61.0,92.0,0.176470592617989,0.176470592617989,0.1,0.0176470592617989,11.800423721205947,81.0,95.0,81.0,95.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,29.75315109362368,74.0,99.0,74.0,99.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,25.927784324928346,46.0,116.0,46.0,116.0,0.176470592617989,0.176470592617989,0.075,0.013235294446349175,34.44198019858905,50.0,131.0,50.0,131.0,0.176470592617989,0.176470592617989,0.066,0.011647059112787276,48.66466890876789,60.0,100.0,60.0,100.0,0.18431372940540303,0.18431372940540303,0.108,0.019905882775783527,18.5,31.0,101.0,31.0,101.0,0.18823531270027202,0.18823531270027202,0.116,0.021835296273231556,29.516944286290883,0.276,0.176,0.425,0.334,0.291,0.2,0.234,0.159,0.317,0.251,0.258,0.15,2
49.0,106.0,49.0,106.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,24.026027553467927,76.0,116.0,76.0,116.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,40.078048854703496,43.0,106.0,43.0,106.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,25.947061490658243,61.0,95.0,61.0,95.0,0.180392161011696,0.180392161011696,0.092,0.01659607881307603,14.326548781894402,57.0,137.0,57.0,137.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,54.582506355058484,77.0,113.0,77.0,113.0,0.18431372940540303,0.18431372940540303,0.124,0.022854902446269976,38.20013088982812,42.0,121.0,42.0,121.0,0.18823531270027202,0.18823531270027202,0.1,0.018823531270027203,40.326790102858425,0.275,0.184,0.4,0.317,0.258,0.167,0.225,0.133,0.309,0.234,0.3,0.176,2
62.0,78.0,62.0,78.0,0.176470592617989,0.176470592617989,0.067,0.011823529705405265,9.17877987534291,57.0,93.0,57.0,93.0,0.176470592617989,0.176470592617989,0.05,0.00882352963089945,10.920164833920778,56.0,93.0,56.0,93.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,10.688779163215974,66.0,80.0,66.0,80.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,12.257650672131263,56.0,101.0,56.0,101.0,0.176470592617989,0.176470592617989,0.083,0.014647059187293088,18.607794065928395,71.0,106.0,71.0,106.0,0.176470592617989,0.176470592617989,0.116,0.020470588743686725,29.004310024546353,32.0,106.0,32.0,106.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,32.190837205639745,0.275,0.208,0.375,0.325,0.309,0.217,0.242,0.159,0.358,0.275,0.309,0.193,2
55.0,88.0,55.0,88.0,0.176470592617989,0.176470592617989,0.074,0.013058823853731185,5.5901699437494745,86.0,106.0,86.0,106.0,0.176470592617989,0.176470592617989,0.092,0.01623529452085499,39.702015062210634,53.0,98.0,53.0,98.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,15.532224567009067,45.0,94.0,45.0,94.0,0.180392161011696,0.180392161011696,0.083,0.014972549363970768,14.603081866510234,53.0,156.0,53.0,156.0,0.180392161011696,0.180392161011696,0.075,0.0135294120758772,73.50680240630795,61.0,117.0,61.0,117.0,0.180392161011696,0.180392161011696,0.124,0.022368627965450305,35.20298282816387,37.0,122.0,37.0,122.0,0.180392161011696,0.180392161011696,0.091,0.016415686652064335,43.00290687848904,0.241,0.167,0.376,0.284,0.25,0.167,0.208,0.125,0.276,0.201,0.283,0.159,2
